tgrep_id,Mean,Var,YMin,YMax
138298:34,4.9,4.766666666666667,3.6,6.1
138340:30,4,4.444444444444445,2.8,5.3
138349:36,4,2.4444444444444446,3,4.8
138350:6,2.8,4.4,1.7,4.2
138469:69,3.5,3.388888888888889,2.4,4.6
138703:48,4.8,3.955555555555555,3.6,6
138873:64,3.2,5.955555555555557,1.7,4.602499999999997
138929:40,3.2,3.0666666666666664,2.1,4.2
138943:28,4.2,4.622222222222222,2.9,5.4
139654:36,3.3,4.455555555555556,2.0975,4.5
139682:16,3.5,3.1666666666666665,2.6,4.5
139729:13,2.6,2.2666666666666666,1.8,3.5
139739:24,4.9,0.9888888888888887,4.2,5.5
13977:49,4.3,3.7888888888888883,3.2,5.4
13983:93,1.7,1.7888888888888888,1,2.6
139879:19,3.2,3.288888888888889,2.2,4.202499999999998
140052:14,2.2,3.2888888888888888,1.3,3.3
140196:19,4.4,4.711111111111111,3,5.7
140415:37,3.5,5.611111111111111,2.2,4.8024999999999975
140815:71,3.9,6.1000000000000005,2.5,5.3
140818:41,4.1,4.1000000000000005,3,5.4
140818:55,1.4,1.6000000000000003,1,2.2
140921:16,3.2,2.1777777777777776,2.4,4
140964:11,4.1,2.5444444444444443,3.2,5
141004:32,3.5,3.210526315789474,2.75,4.3
141287:39,4.1,4.98888888888889,2.8,5.4
141886:24,5.5,3.1666666666666665,4.3,6.4
141908:36,3.9,2.1,3.1,4.8
141909:6,4.25,4.828947368421052,3.3,5.2
141921:54,2.7,4.455555555555557,1.4,4
142083:38,5,3.3333333333333335,3.9,6
142083:50,3.6,5.6,2.1975000000000002,5.2
142141:14,4.8,3.511111111111111,3.6,5.9
142147:41,3.5,3.1666666666666665,2.5,4.6
142499:11,4.8,3.288888888888889,3.7,5.8
142780:82,1.2,0.4,1,1.6
142828:81,3.9,4.7666666666666675,2.6,5.1
142849:33,4,3.1578947368421053,3.25,4.8
142965:19,3.4,4.2666666666666675,2.3,4.6
143183:27,5.2,2.1777777777777776,4.3,6.1
143543:20,3.1,2.544444444444445,2.2,4
143578:37,5,2.2222222222222223,4.1,5.9
143722:15,5.6,3.6000000000000005,4.4975000000000005,6.6
143752:15,6.2,0.39999999999999997,5.8,6.6
144063:31,4.1,4.544444444444445,2.8975,5.4
144511:39,5.8,1.9555555555555557,4.9,6.5
145009:13,5.2,3.511111111111111,4.0975,6.2
145355:18,2,1.3333333333333333,1.4,2.7
145369:58,3.8,5.733333333333334,2.4,5.102499999999997
145433:59,2.4,2.9333333333333336,1.5,3.4
145454:30,3.9,2.5157894736842104,3.2,4.6
145536:63,4.5,5.388888888888889,3,5.8
145552:67,1.7,2.233333333333333,1,2.7
145692:12,4.7,1.788888888888889,3.9,5.5
145722:97,4.7,3.566666666666667,3.5975,5.7
145917:27,3.3,6.677777777777777,1.8,4.8
145945:125,4.6,3.3777777777777778,3.5,5.6
146091:18,3.3,4.677777777777778,2.1,4.5
146198:134,3.7,5.122222222222222,2.4,5
146225:40,2.9,4.988888888888889,1.7975,4.3
14637:17,3.9,4.1,2.7,5.1
14653:39,3.2,5.955555555555556,1.9,4.6
146544:24,3.8,2.4000000000000004,2.9,4.6
146612:75,4.9,2.9888888888888894,3.8,5.8024999999999975
146618:32,5.5,2.5,4.6,6.3
146619:59,3.2,2.8444444444444446,2.2,4.2
146662:13,3.8,3.0666666666666664,2.8,4.9
146710:44,5,2.888888888888889,3.9,6
146829:11,5,2.888888888888889,3.8975,5.9
146901:15,3.1,3.6555555555555554,2,4.2
146901:36,4.2,2.177777777777778,3.4,5.1
146950:24,5.2,4.177777777777778,3.8,6.3
147067:15,4.9,3.433333333333334,3.8,5.9
147083:36,4,3.111111111111111,3,5
147237:51,3.8,5.066666666666667,2.4,5.1
14724:29,3.2,3.511111111111111,2.1975000000000002,4.4
